epoch,train_loss,val_rank1
1,37.8836,10.82
2,35.2096,17.89
3,34.5985,22.07
4,34.1952,22.77
5,33.8591,22.82
6,33.5773,19.62
7,33.3192,27.94
8,33.078,20.63
9,32.8335,20.53
10,32.6241,29.97
11,32.4138,20.08
12,32.2378,23.02
13,32.0753,28.11
14,31.9049,29.17
15,31.728,32.28
16,31.571,22.14
17,31.4567,30.84
18,31.3618,22.81
19,31.2318,25.18
20,31.1801,33.46
21,31.088,33.02
22,31.0468,31.34
23,30.9643,34.21
24,30.9107,33.43
25,30.8729,34.68
26,30.8563,34.25
27,30.8143,27.66
28,30.7919,23.02
29,30.7766,30.24
30,30.7407,31.47
